"idp","mqd","biomass","zp","reserutile","troph_r","species","ownership"
746162,0.344687956945188,348.551784507304,332,89.5,2.98077,"Pin sylvestre","Forêts domaniales RF"
712867,0.213513480389875,238.300772703636,348,62.9999961853027,1.11424,"Sapin pectiné","Autres forêts publiques RF"
720620,0.221324890016448,134.874579765623,359,35,4.04955,"Sapin pectiné","Forêts privées et autres - Hors PSG"
770767,0.157464160796435,117.608077396774,374,50.3999977111816,1.18779,"Douglas","Forêts privées et autres - En PSG"
751199,0.310139713264612,74.8411366939705,466,21,2.37592,"Sapin pectiné","Forêts domaniales RF"
740332,0.29384085761085,249.626883753453,384,29.3999977111816,1.19309,"Sapin pectiné","Forêts privées et autres - En PSG"
701937,0.195429222154134,22.9344223726288,445,108,1.20378,"Hêtre","Forêts domaniales RF"
750486,0.357771588035413,169.332259630421,507,75.5999984741211,1.23346,"Sapin pectiné","Forêts privées et autres - En PSG"
758280,0.115666036341636,112.838398265349,295,56.6999969482422,2.95443,"Hêtre","Forêts domaniales RF"
772844,0.132673677423967,76.9919953542283,417,17.5,2.15281,"Sapin pectiné","Autres forêts publiques RF"
761676,0.163288997562911,47.9865943220848,340,37.7999992370605,1.03467,"Sapin pectiné","Forêts domaniales RF"
722455,0.204662335301241,218.335126237903,382,74.25,2.35393,"Hêtre","Forêts domaniales RF"
738018,0.204886213098639,189.81801929967,460,28,2.91934,"Épicéa commun","Forêts privées et autres - En PSG"
777046,0.337149326686021,533.776914694495,416,49.5999984741211,1.667,"Sapin pectiné","Forêts privées et autres - En PSG"
714754,0.109508344793101,145.995438134189,316,82.5,3.33445,"Chêne rouvre","Forêts domaniales RF"
703094,0.255292231445382,83.8316877181301,258,56.6999969482422,1.60237,"Pin sylvestre","Forêts domaniales RF"
764732,0.100225702166823,24.2443020019308,356,135.449996948242,5.52044,"Noisetier","Forêts privées et autres - Hors PSG"
770652,0.160888064355987,126.842526084992,428,21,1.26861,"Pin sylvestre","Forêts domaniales RF"
747924,0.431668510588069,247.873787237943,649,19.6000003814697,1.66048,"Sapin pectiné","Forêts domaniales RF"
731708,0.268446239773639,221.812240921185,278,14.7000007629395,0.838792,"Pin sylvestre","Forêts domaniales RF"
754967,0.411609729306635,263.574939600417,619,62.9999961853027,0.980626,"Sapin pectiné","Forêts domaniales RF"
731032,0.411458593722081,151.636306330549,756,21,1.40642,"Sapin pectiné","Forêts domaniales RF"
759013,0.356312851817355,211.810121058094,278,24.5,1.32327,"Pin sylvestre","Forêts domaniales RF"
777059,0.227775559472263,306.84320130635,358,24.5,1.6054,"Chêne rouvre","Forêts domaniales RF"
742296,0.226916052649144,279.743994658315,338,39.2000007629395,0.812583,"Chêne rouvre","Forêts domaniales RF"
734865,0.279312488214912,246.514269606111,291,56.6999969482422,1.6314,"Pin sylvestre","Forêts privées et autres - En PSG"
756109,0.202171012641775,349.611766299558,224,76,2.22661,"Chêne pédonculé","Forêts domaniales RF"
749831,0.219812660049523,266.258394291387,253,56.6999969482422,5.14143,"Chêne rouvre","Forêts privées et autres - Hors PSG"
766071,0.286022894159359,282.827844142183,247,56.6999969482422,2.91595,"Hêtre","Forêts domaniales RF"
706191,0.335782564291532,280.503803640783,357,49,2.66218,"Hêtre","Forêts domaniales RF"
730967,0.164123032983139,232.284616629543,365,79.6500015258789,6.5,"Hêtre","Forêts domaniales RF"
701467,0.141328992475813,45.010431166182,533,68.25,4.45218,"Bouleau","Forêts privées et autres - Hors PSG"
701401,0.240391845215798,134.426667554968,314,33.5999984741211,1.42567,"Pin sylvestre","Forêts domaniales RF"
