"idp","pro_psg","pnr","expl","nb_cut","nb_tree"
746162,"publics - domaniales","hors PNR","facile",1,12
720620,"privé - sans psg","hors PNR","très facile",5,11
738018,"privé - psg","hors PNR","très facile",7,15
777046,"privé - psg","hors PNR","difficile",3,24
703094,"publics - domaniales","dans PNR","très facile",1,6
770652,"publics - domaniales","hors PNR","difficile",4,17
747924,"publics - domaniales","hors PNR","très facile",2,12
754967,"publics - domaniales","hors PNR","très facile",2,13
759013,"publics - domaniales","dans PNR","très facile",4,8
742296,"publics - domaniales","dans PNR","facile",1,17
734865,"privé - psg","dans PNR","très facile",1,11
756109,"publics - domaniales","dans PNR","très facile",3,16
730967,"publics - domaniales","dans PNR","facile",1,24
701401,"publics - domaniales","dans PNR","très facile",1,11
732678,"publis - communales","dans PNR","très facile",1,11
770589,"publics - domaniales","hors PNR","facile",1,11
724105,"publics - domaniales","hors PNR","difficile",8,23
754111,"publics - domaniales","hors PNR","facile",1,23
712098,"publics - domaniales","hors PNR","difficile",4,20
761939,"privé - psg","dans PNR","difficile",1,7
733084,"publics - domaniales","hors PNR","facile",1,9
719158,"privé - psg","dans PNR","très facile",1,28
737188,"publis - communales","hors PNR","facile",2,16
719627,"publis - communales","hors PNR","difficile",2,11
776024,"publics - domaniales","dans PNR","très facile",6,17
714068,"publis - communales","hors PNR","facile",1,12
741349,"publis - communales","hors PNR","très facile",2,23
729317,"publis - communales","hors PNR","très facile",2,19
762272,"publis - communales","hors PNR","très facile",6,22
740060,"publis - communales","dans PNR","très facile",2,13
747030,"privé - sans psg","dans PNR","difficile",4,25
711260,"publis - communales","dans PNR","difficile",13,30
770499,"publis - communales","dans PNR","difficile",1,15
714600,"publis - communales","dans PNR","facile",3,8
732904,"publis - communales","dans PNR","très facile",2,17
753778,"privé - psg","dans PNR","facile",4,8
720179,"publis - communales","dans PNR","très facile",3,18
739429,"publis - communales","dans PNR","facile",2,21
734970,"publics - domaniales","dans PNR","difficile",1,11
760259,"privé - sans psg","dans PNR","facile",8,26
734838,"privé - psg","dans PNR","facile",20,20
738331,"publics - domaniales","dans PNR","facile",1,10
737514,"publis - communales","hors PNR","très facile",2,5
768932,"publis - communales","dans PNR","très facile",1,13
715276,"publics - domaniales","hors PNR","facile",3,10
753013,"publis - communales","dans PNR","facile",1,18
737694,"publis - communales","hors PNR","très facile",4,13
763608,"publics - domaniales","hors PNR","très facile",2,15
736719,"publis - communales","dans PNR","difficile",3,21
756853,"publis - communales","hors PNR","très facile",8,14
735919,"privé - sans psg","hors PNR","moyenne",1,10
765290,"publis - communales","hors PNR","facile",2,8
733573,"publis - communales","hors PNR","très facile",2,13
746252,"publics - domaniales","hors PNR","difficile",2,12
728455,"publis - communales","dans PNR","moyenne",2,16
780475,"privé - sans psg","hors PNR","moyenne",28,28
721100,"publics - domaniales","hors PNR","difficile",4,15
719730,"publis - communales","hors PNR","facile",1,17
759291,"publics - domaniales","dans PNR","très facile",1,32
716020,"publics - domaniales","hors PNR","difficile",1,9
730305,"privé - sans psg","hors PNR","difficile",22,22
731596,"publis - communales","dans PNR","très facile",3,24
739850,"publis - communales","hors PNR","très facile",5,22
741764,"publis - communales","dans PNR","facile",1,17
700178,"publis - communales","dans PNR","facile",5,17
718233,"publis - communales","dans PNR","très facile",1,9
780851,"privé - sans psg","dans PNR","facile",2,9
761588,"publics - domaniales","dans PNR","facile",3,10
758698,"publis - communales","dans PNR","facile",2,15
749958,"privé - psg","dans PNR","très facile",1,15
713817,"publics - domaniales","dans PNR","difficile",3,18
758636,"privé - psg","dans PNR","difficile",10,23
860369,"publics - domaniales","hors PNR","très facile",1,5
853266,"publis - communales","hors PNR","moyenne",4,12
821584,"publis - communales","hors PNR","très facile",1,27
851110,"publics - domaniales","hors PNR","très facile",3,24
857623,"publics - domaniales","hors PNR","très facile",6,26
851436,"privé - sans psg","dans PNR","très facile",13,13
877940,"publics - domaniales","hors PNR","très facile",1,8
844965,"publics - domaniales","dans PNR","difficile",2,12
838231,"publics - domaniales","dans PNR","très facile",3,20
872525,"publics - domaniales","dans PNR","facile",1,16
828967,"publics - domaniales","hors PNR","difficile",2,13
815411,"publics - domaniales","hors PNR","très facile",1,17
858344,"publics - domaniales","hors PNR","très facile",4,20
877474,"publics - domaniales","dans PNR","très facile",3,7
856970,"privé - psg","dans PNR","très facile",2,5
861150,"publics - domaniales","hors PNR","difficile",3,13
844621,"publis - communales","hors PNR","difficile",3,15
829725,"publis - communales","dans PNR","très facile",2,4
869208,"publics - domaniales","hors PNR","facile",6,15
859350,"publics - domaniales","hors PNR","très facile",4,19
876594,"publis - communales","hors PNR","difficile",1,12
874309,"publis - communales","dans PNR","difficile",4,16
822430,"publis - communales","hors PNR","difficile",2,14
838261,"publis - communales","hors PNR","très facile",1,6
875472,"publis - communales","hors PNR","facile",2,17
828034,"privé - psg","dans PNR","difficile",9,20
818113,"publis - communales","hors PNR","difficile",2,25
805733,"publis - communales","hors PNR","facile",1,17
878743,"publis - communales","dans PNR","difficile",1,12
816099,"privé - sans psg","dans PNR","facile",4,24
852173,"publis - communales","dans PNR","très facile",3,19
858683,"publis - communales","dans PNR","difficile",1,26
847665,"publis - communales","dans PNR","très facile",3,15
804883,"publis - communales","hors PNR","difficile",1,12
813688,"publis - communales","dans PNR","difficile",1,18
865813,"publis - communales","dans PNR","très facile",1,14
864612,"publis - communales","dans PNR","difficile",3,16
814498,"publis - communales","dans PNR","facile",1,11
824177,"privé - sans psg","dans PNR","très facile",4,19
843064,"privé - sans psg","dans PNR","très facile",4,9
838161,"privé - sans psg","dans PNR","difficile",16,22
858591,"privé - sans psg","hors PNR","très facile",1,18
856907,"publis - communales","hors PNR","facile",3,12
854852,"publis - communales","hors PNR","facile",2,9
831377,"publics - domaniales","hors PNR","facile",5,19
827927,"publis - communales","dans PNR","très facile",3,20
829947,"privé - sans psg","hors PNR","très facile",1,32
817428,"publis - communales","hors PNR","facile",3,19
877184,"privé - sans psg","dans PNR","facile",1,6
811954,"publis - communales","dans PNR","difficile",3,11
870294,"publis - communales","dans PNR","très facile",3,17
844857,"publics - domaniales","hors PNR","très facile",4,14
845267,"publis - communales","hors PNR","difficile",2,10
815652,"privé - sans psg","dans PNR","très facile",1,13
818221,"publis - communales","dans PNR","difficile",6,35
875656,"publis - communales","hors PNR","difficile",2,23
808938,"privé - sans psg","dans PNR","facile",1,41
826445,"publis - communales","dans PNR","facile",1,13
821645,"publis - communales","dans PNR","facile",1,15
856707,"privé - sans psg","dans PNR","très facile",3,14
803561,"publis - communales","dans PNR","difficile",1,20
880689,"publics - domaniales","dans PNR","très facile",1,7
878029,"privé - psg","dans PNR","très facile",3,27
846846,"privé - psg","dans PNR","difficile",4,23
936462,"publis - communales","hors PNR","très facile",2,5
974283,"publics - domaniales","hors PNR","très facile",4,12
933186,"privé - psg","hors PNR","difficile",9,20
913856,"privé - psg","hors PNR","très facile",6,18
925337,"publics - domaniales","dans PNR","très facile",3,21
915083,"publics - domaniales","hors PNR","difficile",10,23
939436,"publics - domaniales","hors PNR","facile",3,10
938842,"publics - domaniales","hors PNR","difficile",2,13
961868,"publics - domaniales","dans PNR","très facile",1,8
945537,"publis - communales","dans PNR","difficile",1,2
973094,"publics - domaniales","dans PNR","facile",1,11
946287,"publics - domaniales","hors PNR","facile",2,11
947026,"privé - sans psg","hors PNR","très facile",1,17
921308,"publis - communales","hors PNR","très facile",2,10
933654,"publis - communales","hors PNR","difficile",1,12
961211,"privé - psg","dans PNR","facile",6,11
939274,"publis - communales","hors PNR","facile",1,18
915192,"publis - communales","hors PNR","facile",1,13
931933,"privé - psg","hors PNR","difficile",7,25
979760,"publics - domaniales","dans PNR","facile",4,12
928073,"publis - communales","dans PNR","difficile",1,19
934707,"privé - sans psg","dans PNR","difficile",1,22
954925,"publis - communales","dans PNR","difficile",2,14
973602,"publis - communales","dans PNR","difficile",1,10
980990,"publis - communales","dans PNR","moyenne",3,14
962680,"publis - communales","hors PNR","difficile",1,16
907223,"privé - psg","dans PNR","facile",3,15
932122,"publis - communales","hors PNR","difficile",1,9
927412,"publis - communales","dans PNR","moyenne",3,19
970631,"publis - communales","dans PNR","difficile",2,24
