"idp","rich","ser_86","pro_psg","elev","tcar","esspre_fr"
1005709,19,"G11","privé - sans psg",319,1,"R"
1001933,50,"C52","privé - sans psg",763,4,"F"
1001580,12,"B33","privé - sans psg",206,10,"F"
1031119,26,"I11","privé - sans psg",515,10,"F"
1007941,37,"C20","publics - domaniales",465,8,"F"
1008363,35,"F12","publics - domaniales",122,2,"F"
1024752,15,"C20","publis - communales",383,8,"F"
1018796,43,"I21","publis - communales",1497,9,"R"
1030696,28,"G13","privé - psg",518,7,"F"
1017104,17,"B70","publics - domaniales",168,7,"F"
1014433,24,"H10","publics - domaniales",1161,8,"F"
1026658,16,"F30","privé - sans psg",285,3,"F"
1007711,4,"B70","publics - domaniales",126,10,"F"
1005630,31,"G21","privé - sans psg",772,8,"R"
1029742,21,"B81","privé - sans psg",128,7,"F"
1007867,25,"F11","privé - sans psg",131,9,"F"
1000466,16,"B70","publics - domaniales",131,10,"F"
1014906,26,"C20","privé - psg",573,5,"F"
1021131,20,"C52","publics - domaniales",617,8,"F"
1008238,17,"F15","privé - sans psg",246,4,"F"
1030713,11,"F22","publics - domaniales",11,5,"R"
1000947,20,"B82","publics - domaniales",119,8,"R"
1005922,19,"H42","privé - sans psg",1778,7,"R"
1023635,33,"J40","privé - sans psg",292,7,"R"
1027947,13,"F11","privé - sans psg",102,2,"F"
1005268,46,"I21","privé - sans psg",786,10,"F"
1013766,55,"H10","privé - sans psg",1353,2,"R"
1008867,35,"F23","privé - sans psg",100,9,"F"
1003508,15,"B92","privé - psg",279,10,"F"
1020622,27,"J10","privé - sans psg",33,3,"R"
1018360,13,"B32","publics - domaniales",72,10,"F"
1020585,45,"I21","privé - sans psg",616,9,"F"
1022303,32,"G60","privé - sans psg",590,4,"F"
1018613,22,"J30","privé - psg",400,4,"F"
1022656,28,"G11","privé - sans psg",387,3,"F"
1001543,15,"F23","privé - sans psg",67,4,"R"
1013066,27,"G60","privé - sans psg",807,7,"F"
1015863,10,"G41","privé - sans psg",837,8,"F"
1024336,24,"B70","privé - psg",124,5,"F"
1029109,34,"E20","privé - sans psg",1104,10,"F"
1003964,17,"H30","privé - sans psg",1190,8,"R"
1029670,19,"B41","publics - domaniales",109,7,"R"
1029264,15,"C30","publis - communales",384,9,"F"
1023074,15,"D11","publics - domaniales",489,7,"R"
1009557,23,"B31","privé - sans psg",131,10,"F"
1019533,26,"C20","publis - communales",435,10,"F"
1010461,30,"J23","privé - sans psg",354,8,"R"
1030240,20,"F40","privé - sans psg",292,1,"F"
1026774,19,"C52","privé - sans psg",447,7,"F"
1010878,33,"F40","privé - sans psg",159,5,"F"
1000719,37,"G41","privé - sans psg",468,9,"R"
1021448,12,"D12","publics - domaniales",333,10,"F"
1014541,71,"H21","privé - sans psg",814,9,"R"
1022358,30,"C20","privé - sans psg",185,9,"F"
1028076,21,"C52","publis - communales",700,8,"F"
1003188,21,"C52","privé - sans psg",402,0,"F"
1031171,17,"F30","privé - sans psg",97,9,"F"
1005965,19,"H30","privé - sans psg",1297,7,"F"
1002211,17,"D11","publis - communales",801,4,"F"
1011360,13,"D11","privé - sans psg",489,0,"F"
1013609,35,"F15","privé - sans psg",172,8,"F"
1003962,49,"I21","publis - communales",406,6,"F"
1002753,13,"A30","privé - sans psg",63,10,"R"
1012771,42,"C30","publis - communales",196,8,"F"
1004076,10,"A21","privé - sans psg",63,10,"R"
1010358,22,"G30","privé - sans psg",1248,3,"R"
1029010,20,"D11","privé - sans psg",609,9,"R"
1008315,28,"C20","publis - communales",360,8,"F"
