"year_month","nb_tree","nb_cut"
2004-11-01,4053,211
2004-12-01,3902,239
2005-01-01,4464,235
2005-02-01,4608,318
2005-03-01,5601,258
2005-04-01,5800,243
2005-05-01,5279,188
2005-06-01,6826,227
2005-07-01,5427,290
2005-08-01,4274,105
2005-09-01,6209,283
2005-10-01,4951,207
2005-11-01,3624,201
2005-12-01,4152,188
2006-01-01,5343,396
2006-02-01,5628,300
2006-03-01,6699,360
2006-04-01,4991,220
2006-05-01,5765,295
2006-06-01,5275,196
2006-07-01,4825,187
2006-08-01,4311,152
2006-09-01,6115,297
2006-10-01,4696,189
2006-11-01,5578,321
2006-12-01,4687,271
2007-01-01,5418,257
2007-02-01,5528,335
2007-03-01,6140,238
2007-04-01,6037,300
2007-05-01,5143,264
2007-06-01,5366,232
2007-07-01,6231,272
2007-08-01,5377,224
2007-09-01,6727,213
2007-10-01,4497,115
2007-11-01,5078,254
2007-12-01,3834,161
2008-01-01,4791,195
2008-02-01,4121,171
2008-03-01,4819,315
2008-04-01,6131,216
2008-05-01,5052,158
2008-06-01,4616,200
2008-07-01,4782,168
2008-08-01,4647,155
2008-09-01,6341,255
2008-10-01,4419,216
2008-11-01,4356,197
2008-12-01,3013,186
2009-01-01,3626,176
2009-02-01,2959,124
2009-03-01,8033,307
2009-04-01,7541,309
2009-05-01,5939,277
2009-06-01,7454,259
2009-07-01,6544,307
2009-08-01,6420,346
2009-09-01,8973,333
2009-10-01,6550,318
2009-11-01,5162,310
2009-12-01,4738,535
2010-01-01,5892,553
2010-02-01,5117,438
2010-03-01,7921,610
2010-04-01,8045,669
2010-05-01,7007,461
2010-06-01,7172,392
2010-07-01,5665,276
2010-08-01,4941,280
2010-09-01,7061,386
2010-10-01,7041,403
2010-11-01,4838,337
2010-12-01,4717,388
2011-01-01,7206,472
2011-02-01,7044,477
2011-03-01,7916,622
2011-04-01,7213,570
2011-05-01,6738,475
2011-06-01,6742,276
2011-07-01,5592,363
2011-08-01,5489,390
2011-09-01,8177,482
2011-10-01,7238,582
2011-11-01,5455,437
2011-12-01,4354,373
2012-01-01,7036,490
2012-02-01,7001,657
2012-03-01,8269,630
2012-04-01,5886,421
2012-05-01,6009,412
2012-06-01,6588,414
2012-07-01,7327,380
2012-08-01,5981,351
2012-09-01,7252,463
2012-10-01,7779,502
2012-11-01,3306,215
2012-12-01,4856,457
2013-01-01,6590,353
2013-02-01,6198,425
2013-03-01,6435,472
2013-04-01,7633,563
2013-05-01,6144,403
2013-06-01,6032,400
2013-07-01,7382,510
2013-08-01,4629,282
2013-09-01,8136,537
2013-10-01,8097,447
2013-11-01,5310,448
2013-12-01,5117,458
2014-01-01,7228,595
2014-02-01,7149,597
2014-03-01,6678,587
2014-04-01,6815,494
2014-05-01,5538,320
2014-06-01,6123,338
2014-07-01,7058,376
2014-08-01,4473,257
2014-09-01,6128,336
2014-10-01,5470,548
2014-11-01,5469,340
2014-12-01,5013,443
2015-01-01,6353,535
2015-02-01,6476,467
2015-03-01,6494,528
2015-04-01,5542,433
2015-05-01,4894,427
2015-06-01,6888,436
2015-07-01,5114,360
2015-08-01,3822,218
2015-09-01,5282,231
2015-10-01,4703,353
2015-11-01,5034,354
2015-12-01,4232,359
2016-01-01,5223,443
2016-02-01,4611,269
2016-03-01,6534,552
2016-04-01,4597,327
2016-05-01,4917,358
2016-06-01,5270,271
2016-07-01,4241,177
2016-08-01,4956,157
2016-09-01,6789,511
2016-10-01,4100,215
2016-11-01,4938,350
2016-12-01,3483,329
2017-01-01,4601,350
2017-02-01,4081,348
2017-03-01,5164,414
2017-04-01,3918,248
2017-05-01,4985,362
2017-06-01,5763,273
2017-07-01,4769,233
2017-08-01,4420,248
2017-09-01,6250,343
2017-10-01,7930,453
2017-11-01,5232,401
2017-12-01,3807,344
2018-01-01,5889,559
2018-02-01,5354,506
2018-03-01,5883,382
2018-04-01,4693,335
2018-05-01,4476,343
2018-06-01,6185,447
2018-07-01,6147,360
2018-08-01,4944,229
2018-09-01,6424,532
2018-10-01,6920,333
2018-11-01,5243,487
2018-12-01,4284,300
2019-01-01,5139,315
2019-02-01,5437,322
2019-03-01,5445,369
2019-04-01,5593,281
2019-05-01,4641,292
2019-06-01,4846,276
2019-07-01,6536,433
2019-08-01,4351,224
2019-09-01,5991,364
2019-10-01,6775,354
2019-11-01,3550,267
2019-12-01,3749,252
2020-01-01,5984,380
2020-02-01,5558,353
2020-03-01,2668,218
2020-05-01,3046,144
2020-06-01,7572,432
2020-07-01,7355,411
2020-08-01,6527,379
2020-09-01,8584,645
2020-10-01,6948,398
