"idp","pro_psg","ser_86","biom"
1021459,"privé - sans psg","C51",139.952280955175
1013705,"privé - sans psg","C51",336.26666667465
1013229,"privé - sans psg","C51",78.8800988172714
1030210,"privé - sans psg","C51",304.494449207409
1003663,"privé - sans psg","C51",97.5934443592413
1007420,"privé - sans psg","C52",43.5942113546396
1028727,"privé - sans psg","C51",465.032216056209
1016087,"privé - sans psg","C51",373.694422725945
1003637,"privé - sans psg","E10",31.5780540507025
1000584,"publics - domaniales","C51",258.633054720796
1015205,"publis - communales","C51",274.750141710508
1010591,"privé - sans psg","C51",243.188694379507
1005442,"privé - sans psg","C51",503.441073092224
1007503,"privé - psg","C51",193.72004058259
1000820,"privé - sans psg","E10",24.2078191764106
1021077,"privé - sans psg","E10",25.8277891320961
1004904,"publis - communales","C51",381.066502974332
1004584,"privé - sans psg","E10",218.403577662158
1026895,"privé - sans psg","E10",14.3325535099129
1012204,"privé - sans psg","E10",101.579725104437
1024786,"privé - sans psg","C52",133.34186239009
1007207,"privé - sans psg","C52",26.708706359816
1001105,"privé - sans psg","E10",185.581243436024
1007040,"publis - communales","E10",172.941730440201
1013436,"privé - sans psg","E10",589.359022543821
1012046,"privé - sans psg","C52",63.1034002341438
1019281,"publis - communales","E10",63.7986422690732
1003449,"publis - communales","E10",149.842858051975
1014098,"privé - sans psg","E10",154.840373119943
1016851,"privé - sans psg","E10",211.864451393228
1002370,"privé - sans psg","E10",193.804202672055
1021856,"publis - communales","E20",142.891485303354
1014950,"publis - communales","E20",99.136845351477
1015957,"publis - communales","E20",1.44865193107688
1021902,"publis - communales","E20",188.465068733737
1009404,"publis - communales","E10",137.069595979457
1005248,"publis - communales","E20",195.980221531414
1006134,"privé - sans psg","E20",21.381390629299
1028398,"publis - communales","E20",60.4739846855154
1003655,"publis - communales","E20",72.1353379503644
1017485,"publis - communales","E10",264.962113803588
1023498,"privé - sans psg","E10",5.64949294636536
1017189,"publis - communales","E10",224.363341250066
1020382,"publis - communales","E20",289.04390510529
1021499,"privé - sans psg","E20",558.123693786729
1015379,"publis - communales","E10",86.315283419866
1017388,"publis - communales","E20",257.267261021374
1000946,"publis - communales","E20",94.1027611235727
1017191,"publis - communales","E20",236.863348092488
1028598,"privé - psg","E20",197.428101112628
1000945,"publis - communales","E20",146.945971727754
1011886,"publis - communales","E20",522.600943926454
1009509,"privé - sans psg","E10",181.598055641651
1004706,"privé - sans psg","E20",290.309875571347
1013519,"privé - sans psg","E20",62.2837776567062
1009930,"publis - communales","E20",265.428982648419
1029109,"privé - sans psg","E20",334.959560746899
1020318,"privé - sans psg","C52",67.4030685093723
1022007,"publis - communales","E20",368.164807618207
1010578,"privé - sans psg","E10",44.57842249532
1007806,"privé - sans psg","E20",492.064094704006
1013755,"privé - sans psg","C52",455.108476932395
1000661,"privé - sans psg","C52",32.737969253054
1019342,"privé - sans psg","C52",154.472692022618
1015036,"privé - sans psg","C52",189.632907177122
1022534,"privé - sans psg","E10",203.768293831
1025525,"privé - sans psg","E10",280.22529763833
1020158,"publis - communales","E10",264.648100568628
1006224,"privé - sans psg","E20",175.34260591925
1010454,"privé - sans psg","C52",82.3688000859496
1002734,"publis - communales","E10",71.2298280458547
1029908,"privé - sans psg","E20",178.976736636163
1007379,"privé - sans psg","C52",156.020060251618
1003493,"publis - communales","E20",368.7704397134
1004605,"privé - sans psg","C52",64.606837313353
1021608,"privé - sans psg","C52",165.203820634856
1021926,"publis - communales","E10",3.45305107628431
1001933,"privé - sans psg","C52",39.399248734249
1018004,"publis - communales","C52",188.791125360455
1014238,"publis - communales","C52",142.812054704778
1000515,"privé - sans psg","C52",29.830482541199
1018128,"publis - communales","E20",129.656873535005
1007341,"privé - sans psg","C52",113.572368251746
1019963,"privé - sans psg","B22",151.45816430904
1005105,"privé - sans psg","B22",121.316341873231
1002292,"privé - psg","B41",520.16863948626
1021167,"privé - psg","B41",212.577283738464
1025414,"publics - domaniales","B41",36.2591366325896
1028127,"privé - sans psg","B41",207.727385003818
1002771,"privé - sans psg","B22",499.819534073378
1023821,"privé - sans psg","B22",215.963393619294
1005249,"privé - sans psg","B41",2.02115298496614
1005294,"privé - psg","B22",152.765922035844
1008494,"privé - sans psg","B41",25.0852874485749
1008018,"publics - domaniales","B41",274.818739508447
1023525,"publics - domaniales","B41",240.544762607845
1028555,"privé - sans psg","B41",75.797527271356
1020637,"privé - sans psg","B41",60.3014319859997
1009260,"privé - psg","B41",609.383077822665
1002418,"publics - domaniales","B41",113.058813080864
1024514,"privé - sans psg","B41",431.514612955592
1030107,"privé - psg","B41",126.191237056764
1010506,"privé - sans psg","B41",193.833728533307
1018879,"publics - domaniales","B41",469.983326331487
