"idp","pro_psg","biom","xl","yl","gr"
1021459,"privé - sans psg",139.952280955175,798200,2135600,"798200 2135600"
1013705,"privé - sans psg",336.26666667465,800200,2131600,"800200 2131600"
1013229,"privé - sans psg",78.8800988172714,800200,2121600,"800200 2121600"
1030210,"privé - sans psg",304.494449207409,822200,2157600,"822200 2157600"
1003663,"privé - sans psg",97.5934443592413,814200,2133600,"814200 2133600"
1007420,"privé - sans psg",43.5942113546396,804200,2093600,"804200 2093600"
1028727,"privé - sans psg",465.032216056209,818200,2125600,"818200 2125600"
1016087,"privé - sans psg",373.694422725945,810200,2101600,"810200 2101600"
1003637,"privé - sans psg",31.5780540507025,832200,2157600,"832200 2157600"
1000584,"publics - domaniales",258.633054720796,824200,2133600,"824200 2133600"
1015205,"publis - communales",274.750141710508,816200,2109600,"816200 2109600"
1010591,"privé - sans psg",243.188694379507,830200,2141600,"830200 2141600"
1005442,"privé - sans psg",503.441073092224,824200,2123600,"824200 2123600"
1007503,"privé - psg",193.72004058259,822200,2117600,"822200 2117600"
1000820,"privé - sans psg",24.2078191764106,836200,2149600,"836200 2149600"
1021077,"privé - sans psg",25.8277891320961,832200,2137600,"832200 2137600"
1004904,"publis - communales",381.066502974332,824200,2113600,"824200 2113600"
1004584,"privé - sans psg",218.403577662158,836200,2139600,"836200 2139600"
1026895,"privé - sans psg",14.3325535099129,834200,2133600,"834200 2133600"
1012204,"privé - sans psg",101.579725104437,832200,2127600,"832200 2127600"
1024786,"privé - sans psg",133.34186239009,826200,2109600,"826200 2109600"
1007207,"privé - sans psg",26.708706359816,824200,2103600,"824200 2103600"
1001105,"privé - sans psg",185.581243436024,844200,2143600,"844200 2143600"
1007040,"publis - communales",172.941730440201,842200,2137600,"842200 2137600"
1013436,"privé - sans psg",589.359022543821,840200,2131600,"840200 2131600"
1012046,"privé - sans psg",63.1034002341438,830200,2101600,"830200 2101600"
1019281,"publis - communales",63.7986422690732,848200,2145600,"848200 2145600"
1003449,"publis - communales",149.842858051975,844200,2133600,"844200 2133600"
1014098,"privé - sans psg",154.840373119943,848200,2135600,"848200 2135600"
1016851,"privé - sans psg",211.864451393228,838200,2105600,"838200 2105600"
1002370,"privé - sans psg",193.804202672055,856200,2149600,"856200 2149600"
1021856,"publis - communales",142.891485303354,852200,2137600,"852200 2137600"
1014950,"publis - communales",99.136845351477,850200,2131600,"850200 2131600"
1015957,"publis - communales",1.44865193107688,848200,2125600,"848200 2125600"
1021902,"publis - communales",188.465068733737,844200,2113600,"844200 2113600"
1009404,"publis - communales",137.069595979457,842200,2107600,"842200 2107600"
1005248,"publis - communales",195.980221531414,858200,2145600,"858200 2145600"
1006134,"privé - sans psg",21.381390629299,856200,2139600,"856200 2139600"
1028398,"publis - communales",60.4739846855154,854200,2133600,"854200 2133600"
1003655,"publis - communales",72.1353379503644,852200,2127600,"852200 2127600"
1017485,"publis - communales",264.962113803588,846200,2109600,"846200 2109600"
1023498,"privé - sans psg",5.64949294636536,844200,2103600,"844200 2103600"
1017189,"publis - communales",224.363341250066,842200,2097600,"842200 2097600"
1020382,"publis - communales",289.04390510529,860200,2141600,"860200 2141600"
1021499,"privé - sans psg",558.123693786729,856200,2129600,"856200 2129600"
1015379,"publis - communales",86.315283419866,844200,2093600,"844200 2093600"
1017388,"publis - communales",257.267261021374,864200,2143600,"864200 2143600"
1000946,"publis - communales",94.1027611235727,862200,2137600,"862200 2137600"
1017191,"publis - communales",236.863348092488,860200,2131600,"860200 2131600"
1028598,"privé - psg",197.428101112628,858200,2125600,"858200 2125600"
1000945,"publis - communales",146.945971727754,856200,2119600,"856200 2119600"
1011886,"publis - communales",522.600943926454,854200,2113600,"854200 2113600"
1009509,"privé - sans psg",181.598055641651,850200,2101600,"850200 2101600"
1004706,"privé - sans psg",290.309875571347,868200,2145600,"868200 2145600"
1013519,"privé - sans psg",62.2837776567062,866200,2139600,"866200 2139600"
1009930,"publis - communales",265.428982648419,864200,2133600,"864200 2133600"
1029109,"privé - sans psg",334.959560746899,860200,2121600,"860200 2121600"
1020318,"privé - sans psg",67.4030685093723,858200,2115600,"858200 2115600"
1022007,"publis - communales",368.164807618207,856200,2109600,"856200 2109600"
1010578,"privé - sans psg",44.57842249532,852200,2097600,"852200 2097600"
1007806,"privé - sans psg",492.064094704006,870200,2141600,"870200 2141600"
1013755,"privé - sans psg",455.108476932395,868200,2135600,"868200 2135600"
1000661,"privé - sans psg",32.737969253054,866200,2129600,"866200 2129600"
1019342,"privé - sans psg",154.472692022618,864200,2123600,"864200 2123600"
1015036,"privé - sans psg",189.632907177122,858200,2105600,"858200 2105600"
1022534,"privé - sans psg",203.768293831,856200,2099600,"856200 2099600"
1025525,"privé - sans psg",280.22529763833,854200,2093600,"854200 2093600"
1020158,"publis - communales",264.648100568628,852200,2087600,"852200 2087600"
1006224,"privé - sans psg",175.34260591925,872200,2137600,"872200 2137600"
1010454,"privé - sans psg",82.3688000859496,860200,2101600,"860200 2101600"
1002734,"publis - communales",71.2298280458547,856200,2089600,"856200 2089600"
1029908,"privé - sans psg",178.976736636163,882200,2157600,"882200 2157600"
1007379,"privé - sans psg",156.020060251618,876200,2139600,"876200 2139600"
1003493,"publis - communales",368.7704397134,874200,2133600,"874200 2133600"
1004605,"privé - sans psg",64.606837313353,868200,2115600,"868200 2115600"
1021608,"privé - sans psg",165.203820634856,864200,2103600,"864200 2103600"
